,default,beego,echo,fiber,gin
0 ms,27941.78,26665.19,27788.09,42358.05,28060.77
10 ms,29363.15,27566.09,29479.65,40752.46,28162.90
100 ms,9987.69,9979.92,9962.95,9813.37,9973.61
500 ms,2002.61,2001.12,2001.01,2003.47,2001.25
