,default,beego,echo,fiber,gin
0 ms,35971.71,33289.62,34091.40,288740.78,36349.87
10 ms,36266.46,33770.77,36347.12,93869.89,36080.18
100 ms,10034.27,10030.26,10035.10,9757.80,10010.20
500 ms,1999.54,1998.33,1998.98,1627.99,1999.83
